,ID,Date,Day,Month,Year,User Name,Location,Text,Language,Retweet counts,Favorites counts,Hashtags
0,1605656478731407360,2022-12-21 20:08:30+00:00,21,12,2022,American Nuclear Society,"La Grange Park, IL","RT @ANS_org: Help our Ukrainian colleagues keep warm and stay healthy this winter by donating to https://t.co/BmUsP9TCvJ

@UANuclerSociety:…",en,6.0,0.0,[]
1,1605639245674479616,2022-12-21 19:00:02+00:00,21,12,2022,American Nuclear Society,"La Grange Park, IL","Are you an ANS student member? Enrolled in a #nuclear science or engineering degree? Apply for one of our scholarships!

ANS has dozens of scholarships for our students. Download the program brochure and check the ANS website for key dates and deadlines:

https://t.co/Rzx65wgiUK https://t.co/1QwVBDGwE0",en,0.0,3.0,"[{'text': 'nuclear', 'indices': [45, 53]}]"
2,1605630642624004096,2022-12-21 18:25:51+00:00,21,12,2022,American Nuclear Society,"La Grange Park, IL","@UANuclerSociety: ""The photo shows only a small part of what has already been purchased and sent to our colleagues. And for them it will be a wonderful gift for the New Year holidays and a huge support made by your efforts."" 

Help this winter at https://t.co/BmUsP9C1Eb (2/2) https://t.co/aVe5gtsoeF",en,2.0,6.0,[]
3,1605630640732311552,2022-12-21 18:25:50+00:00,21,12,2022,American Nuclear Society,"La Grange Park, IL","Help our Ukrainian colleagues keep warm and stay healthy this winter by donating to https://t.co/BmUsP9TCvJ

@UANuclerSociety: ""Thanks to your donations, we have already bought thermal clothing, flashlights, batteries, power banks, thermoses, warm clothes &amp; much more."" (1/2) https://t.co/cRqgh4Xnek",en,6.0,14.0,[]
4,1605593531778596864,2022-12-21 15:58:23+00:00,21,12,2022,American Nuclear Society,"La Grange Park, IL",RT @AlecStapp: It should be a major scandal that Congress ordered the Nuclear Regulatory Commission to provide a feasible pathway for licen…,en,509.0,0.0,[]
5,1605593404208951296,2022-12-21 15:57:52+00:00,21,12,2022,American Nuclear Society,"La Grange Park, IL",RT @arpitrage: @AlecStapp https://t.co/CeP6xsRbBE,qme,11.0,0.0,[]
6,1605578886527741952,2022-12-21 15:00:11+00:00,21,12,2022,American Nuclear Society,"La Grange Park, IL","A lack of #HALEU fuel availability has caused @TerraPower to delay the start of its advanced #nuclear reactor.

TP planned to use Russian fuel to get its demo reactor running by 2028, but Russia’s invasion of #Ukraine has dashed those plans.

Read on: 
https://t.co/hKNeycAEOu https://t.co/iqcpSveugr",en,1.0,5.0,"[{'text': 'HALEU', 'indices': [10, 16]}, {'text': 'nuclear', 'indices': [93, 101]}, {'text': 'Ukraine', 'indices': [209, 217]}]"
7,1605404193761611776,2022-12-21 03:26:01+00:00,21,12,2022,American Nuclear Society,"La Grange Park, IL",RT @MITEngineering: Professor Koroush Shirvan of @mit_nse recently won the 2022 Reactor Technology Award from @ANS_org. Shirvan pursues ave…,en,2.0,0.0,[]
8,1605305777648029696,2022-12-20 20:54:57+00:00,20,12,2022,American Nuclear Society,"La Grange Park, IL","RT @Grace_Stanke: Looking at a week full of media interviews where I’ll talk about the $68,000 in scholarships I’ve earned and how nuclear…",en,120.0,0.0,[]
9,1605305495702499328,2022-12-20 20:53:49+00:00,20,12,2022,American Nuclear Society,"La Grange Park, IL",RT @saftergood: The 1954 Atomic Energy Commission decision to revoke J. Robert Oppenheimer's security clearance was vacated today by Energy…,en,128.0,0.0,[]
